S.No.,Company Name,Ticker,Sector
1,Apple Inc,AAPL,Information Technology
2,Microsoft Corp,MSFT,Information Technology
3,Amazon Com Inc,AMZN,Consumer Discretionary
4,Nvidia Corp,NVDA,Information Technology
5,Alphabet Inc Class A,GOOGL,Communication
6,Alphabet Inc Class C,GOOG,Communication
7,Meta Platforms Inc Class A,META,Communication
8,Berkshire Hathaway Inc Class B,BRKB,Financials
9,Tesla Inc,TSLA,Consumer Discretionary
10,Unitedhealth Group Inc,UNH,Health Care
11,Eli Lilly,LLY,Health Care
12,JPMorgan Chase & Co,JPM,Financials
13,Exxon Mobil Corp,XOM,Energy
14,Johnson & Johnson,JNJ,Health Care
15,Visa Inc Class A,V,Financials
16,Procter & Gamble,PG,Consumer Staples
17,Broadcom Inc,AVGO,Information Technology
18,Mastercard Inc Class A,MA,Financials
19,Home Depot Inc,HD,Consumer Discretionary
20,Chevron Corp,CVX,Energy
21,Merck & Co Inc,MRK,Health Care
22,Abbvie Inc,ABBV,Health Care
23,Pepsico Inc,PEP,Consumer Staples
24,Costco Wholesale Corp,COST,Consumer Staples
25,Adobe Inc,ADBE,Information Technology
26,Coca-Cola,KO,Consumer Staples
27,Cisco Systems Inc,CSCO,Information Technology
28,Walmart Inc,WMT,Consumer Staples
29,Thermo Fisher Scientific Inc,TMO,Health Care
30,Mcdonalds Corp,MCD,Consumer Discretionary
31,Pfizer Inc,PFE,Health Care
32,Salesforce Inc,CRM,Information Technology
33,Bank Of America Corp,BAC,Financials
34,Accenture Plc Class A,ACN,Information Technology
35,Comcast Corp Class A,CMCSA,Communication
36,Linde Plc,LIN,Materials
37,Netflix Inc,NFLX,Communication
38,Abbott Laboratories,ABT,Health Care
39,Oracle Corp,ORCL,Information Technology
40,Danaher Corp,DHR,Health Care
41,Advanced Micro Devices Inc,AMD,Information Technology
42,Wells Fargo,WFC,Financials
43,Walt Disney,DIS,Communication
44,Texas Instrument Inc,TXN,Information Technology
45,Philip Morris International Inc,PM,Consumer Staples
46,Verizon Communications Inc,VZ,Communication
47,Intuit Inc,INTU,Information Technology
48,Conocophillips,COP,Energy
49,Caterpillar Inc,CAT,Industrials
50,Amgen Inc,AMGN,Health Care
51,Nextera Energy Inc,NEE,Utilities
52,Intel Corporation Corp,INTC,Information Technology
53,Union Pacific Corp,UNP,Industrials
54,Lowes Companies Inc,LOW,Consumer Discretionary
55,International Business Machines Co,IBM,Information Technology
56,Bristol Myers Squibb,BMY,Health Care
57,S&P Global Inc,SPGI,Financials
58,Rtx Corp,RTX,Industrials
59,Honeywell International Inc,HON,Industrials
60,Boeing,BA,Industrials
61,United Parcel Service Inc Class B,UPS,Industrials
62,General Electric,GE,Industrials
63,Qualcomm Inc,QCOM,Information Technology
64,Applied Material Inc,AMAT,Information Technology
65,Nike Inc Class B,NKE,Consumer Discretionary
66,Prologis Reit Inc,PLD,Real Estate
67,Servicenow Inc,NOW,Information Technology
68,Booking Holdings Inc,BKNG,Consumer Discretionary
69,Starbucks Corp,SBUX,Consumer Discretionary
70,Morgan Stanley,MS,Financials
71,Elevance Health Inc,ELV,Health Care
72,Medtronic Plc,MDT,Health Care
73,Goldman Sachs Group Inc,GS,Financials
74,Deere,DE,Industrials
75,Automatic Data Processing Inc,ADP,Industrials
76,Lockheed Martin Corp,LMT,Industrials
77,Tjx Inc,TJX,Consumer Discretionary
78,At&T Inc,T,Communication
79,Blackrock Inc,BLK,Financials
80,Intuitive Surgical Inc,ISRG,Health Care
81,Mondelez International Inc Class A,MDLZ,Consumer Staples
82,Gilead Sciences Inc,GILD,Health Care
83,Marsh & Mclennan Inc,MMC,Financials
84,American Express,AXP,Financials
85,Stryker Corp,SYK,Health Care
86,Regeneron Pharmaceuticals Inc,REGN,Health Care
87,Vertex Pharmaceuticals Inc,VRTX,Health Care
88,Eaton Plc,ETN,Industrials
89,Lam Research Corp,LRCX,Information Technology
90,Analog Devices Inc,ADI,Information Technology
91,Charles Schwab Corp,SCHW,Financials
92,Cvs Health Corp,CVS,Health Care
93,Zoetis Inc Class A,ZTS,Health Care
94,Cigna,CI,Health Care
95,Chubb Ltd,CB,Financials
96,American Tower Reit Corp,AMT,Real Estate
97,Schlumberger Nv,SLB,Energy
98,Citigroup Inc,C,Financials
99,Becton Dickinson,BDX,Health Care
100,Altria Group Inc,MO,Consumer Staples
101,Progressive Corp,PGR,Financials
102,T Mobile Us Inc,TMUS,Communication
103,Fiserv Inc,FI,Financials
104,Southern,SO,Utilities
105,Eog Resources Inc,EOG,Energy
106,Boston Scientific Corp,BSX,Health Care
107,Cme Group Inc Class A,CME,Financials
108,Equinix Reit Inc,EQIX,Real Estate
109,Micron Technology Inc,MU,Information Technology
110,Duke Energy Corp,DUK,Utilities
111,Palo Alto Networks Inc,PANW,Information Technology
112,Paypal Holdings Inc,PYPL,Financials
113,Aon Plc Class A,AON,Financials
114,Synopsys Inc,SNPS,Information Technology
115,Illinois Tool Inc,ITW,Industrials
116,Kla Corp,KLAC,Information Technology
117,"
Hubbell Incorporated",HUBB,Industrials
118,Intercontinental Exchange Inc,ICE,Financials
119,Air Products And Chemicals Inc,APD,Materials
120,Sherwin Williams,SHW,Materials
121,Cadence Design Systems Inc,CDNS,Information Technology
122,CSX Corp,CSX,Industrials
123,Northrop Grumman Corp,NOC,Industrials
124,Colgate-Palmolive,CL,Consumer Staples
125,Marathon Petroleum Corp,MPC,Energy
126,Humana Inc,HUM,Health Care
127,Fedex Corp,FDX,Industrials
128,Waste Management Inc,WM,Industrials
129,Mckesson Corp,MCK,Health Care
130,Target Corp,TGT,Consumer Staples
131,Oreilly Automotive Inc,ORLY,Consumer Discretionary
132,Hca Healthcare Inc,HCA,Health Care
133,Freeport Mcmoran Inc,FCX,Materials
134,Emerson Electric,EMR,Industrials
135,Pioneer Natural Resource,PXD,Energy
136,3M,MMM,Industrials
137,Moodys Corp,MCO,Financials
138,Roper Technologies Inc,ROP,Information Technology
139,Chipotle Mexican Grill Inc,CMG,Consumer Discretionary
140,Phillips,PSX,Energy
141,Marriott International Inc Class A,MAR,Consumer Discretionary
142,Parker-Hannifin Corp,PH,Industrials
143,Amphenol Corp Class A,APH,Information Technology
144,General Dynamics Corp,GD,Industrials
145,Us Bancorp,USB,Financials
146,Nxp Semiconductors Nv,NXPI,Information Technology
147,Arthur J Gallagher,AJG,Financials
148,Norfolk Southern Corp,NSC,Industrials
149,Pnc Financial Services Group Inc,PNC,Financials
150,Valero Energy Corp,VLO,Energy
151,Ford Motor Co,F,Consumer Discretionary
152,Motorola Solutions Inc,MSI,Information Technology
153,General Motors,GM,Consumer Discretionary
154,Trane Technologies Plc,TT,Industrials
155,Edwards Lifesciences Corp,EW,Health Care
156,Carrier Global Corp,CARR,Industrials
157,Autozone Inc,AZO,Consumer Discretionary
158,Autodesk Inc,ADSK,Information Technology
159,Transdigm Group Inc,TDG,Industrials
160,Arista Networks Inc,ANET,Information Technology
161,Sempra,SRE,Utilities
162,Ecolab Inc,ECL,Materials
163,Occidental Petroleum Corp,OXY,Energy
164,Paccar Inc,PCAR,Industrials
165,Archer Daniels Midland,ADM,Consumer Staples
166,Monster Beverage Corp,MNST,Consumer Staples
167,Kimberly Clark Corp,KMB,Consumer Staples
168,Public Storage Reit,PSA,Real Estate
169,Crown Castle Inc,CCI,Real Estate
170,Charter Communications Inc Class A,CHTR,Communication
171,Microchip Technology Inc,MCHP,Information Technology
172,Msci Inc,MSCI,Financials
173,Cintas Corp,CTAS,Industrials
174,Williams Inc,WMB,Energy
175,American International Group Inc,AIG,Financials
176,Constellation Brands Inc Class A,STZ,Consumer Staples
177,Block,XYZ,Information Technology
178,Nucor Corp,NUE,Materials
179,Ross Stores Inc,ROST,Consumer Discretionary
180,Aflac Inc,AFL,Financials
181,Kenvue Inc,KVUE,Consumer Staples
182,American Electric Power Inc,AEP,Utilities
183,Idexx Laboratories Inc,IDXX,Health Care
184,Dominion Energy Inc,D,Utilities
185,Te Connectivity Ltd,TEL,Information Technology
186,Johnson Controls International Plc,JCI,Industrials
187,Metlife Inc,MET,Financials
188,General Mills Inc,GIS,Consumer Staples
189,Iqvia Holdings Inc,IQV,Health Care
190,Exelon Corp,EXC,Utilities
191,Welltower Inc,WELL,Real Estate
192,Dexcom Inc,DXCM,Health Care
193,Hilton Worldwide Holdings Inc,HLT,Consumer Discretionary
194,On Semiconductor Corp,ON,Information Technology
195,Capital One Financial Corp,COF,Financials
196,Paychex Inc,PAYX,Industrials
197,Truist Financial Corp,TFC,Financials
198,Biogen Inc,BIIB,Health Care
199,Realty Income Reit Corp,O,Real Estate
200,Fortinet Inc,FTNT,Information Technology
201,Dow Inc,DOW,Materials
202,Travelers Companies Inc,TRV,Financials
203,Digital Realty Trust Reit Inc,DLR,Real Estate
204,Moderna Inc,MRNA,Health Care
205,Copart Inc,CPRT,Industrials
206,Old Dominion Freight Line Inc,ODFL,Industrials
